respondent_id,survey_year,survey_month,survey_platform,response_time_minutes,country,region,age,gender,education_level,employment_status,income_bracket,primary_sport,sport_category,secondary_sport,years_following_sport,fan_loyalty_score,primary_viewing_method,watch_frequency,weekly_hours_watching,streaming_subscriptions,stadium_visits_per_year,merchandise_spend_usd,ppv_spend_usd,total_annual_spend_usd,social_media_follows_athletes,social_media_hours_weekly,creates_sports_content,news_source,sports_betting_participation,fantasy_sports_participation,primary_motivation,willing_to_attend_major_event,extra_spend_willingness_usd,broadcast_quality_rating,athlete_professionalism_rating,event_value_for_money_rating,media_coverage_rating,community_atmosphere_rating,overall_satisfaction_rating,sport_growth_perception_rating,fan_tier
1,2024,8,In-app,16,Brazil,South America,59,Female,Bachelor's degree,Employed full-time,$50k–$75k,MMA,Combat Sport,Volleyball,17,3,Cable/satellite TV,Several times a week,11.1,0,1,18,26,44,Yes,0.9,No,TV sports news,No,No,Gambling/betting,Maybe,17.82,5,9,1,8,5,10,1,Silver
2,2024,12,Online (desktop),14,China,East Asia,42,Male,Doctorate,Employed part-time,$100k–$150k,Basketball,Team Sport,Table Tennis,6,2,Cable/satellite TV,Several times a week,5.3,5,1,25,90,115,Yes,2.5,No,TV sports news,No,No,Entertainment,Definitely yes,7.26,10,7,8,8,7,7,10,Silver
3,2024,10,Online (desktop),13,Canada,North America,46,Female,Master's degree,Student,$25k–$50k,Soccer,Team Sport,,8,1,Cable/satellite TV,Several times a week,12.7,2,1,2,24,26,Yes,5.2,No,TV sports news,No,Yes,Gambling/betting,Probably yes,19.59,6,8,5,8,9,7,10,Bronze
4,2024,2,Online (mobile),11,Australia,Oceania,27,Male,Master's degree,Student,$25k–$50k,Rugby,Team Sport,,16,4,Sports bar/pub,A few times a month,3.7,0,0,106,6,112,Yes,5.1,No,Social media,No,No,Community & belonging,Probably not,8.44,5,9,5,7,10,7,9,Gold
5,2024,10,In-app,6,USA,North America,22,Male,High school,Retired,$75k–$100k,American Football,Team Sport,,5,2,Streaming service,A few times a month,2.1,2,1,32,19,51,Yes,3.4,No,Social media,No,Yes,Athletic excellence,Definitely yes,17.8,7,7,5,4,9,9,6,Bronze
6,2024,11,Online (desktop),19,USA,North America,34,Male,Some college,Employed full-time,$100k–$150k,Ice Hockey,Team Sport,,12,4,In-person (stadium/arena),Several times a week,4.7,3,3,60,9,69,Yes,3.2,No,Social media,Yes,No,Community & belonging,Probably yes,2.7,8,8,4,9,8,9,9,Gold
7,2024,8,Online (desktop),9,USA,North America,34,Female,Doctorate,Employed full-time,$100k–$150k,Basketball,Team Sport,,23,5,Cable/satellite TV,Weekly,3.9,3,5,116,11,127,No,1.1,No,Sports website/app,Yes,No,Entertainment,Probably yes,1.41,5,4,9,9,6,6,8,Gold
8,2024,4,Online (mobile),16,Argentina,South America,21,Male,Master's degree,Employed full-time,$75k–$100k,Rugby,Team Sport,Tennis,3,4,Free broadcast TV,Daily,12.1,3,0,147,8,155,Yes,0.7,Yes,Social media,Yes,Yes,Nostalgia,Maybe,11.6,7,7,4,8,5,8,10,Gold
9,2024,12,Online (mobile),13,Australia,Oceania,31,Male,Bachelor's degree,Employed full-time,$50k–$75k,Tennis,Racquet Sport,Australian Rules Football,8,3,Cable/satellite TV,Several times a week,5.5,3,0,66,17,83,Yes,3.0,No,Sports website/app,Yes,No,Nostalgia,Definitely yes,7.31,9,9,7,5,8,7,8,Silver
10,2024,10,Online (desktop),6,Japan,East Asia,37,Female,Bachelor's degree,Employed full-time,$25k–$50k,Basketball,Team Sport,Soccer,10,4,Sports bar/pub,Monthly or less,0.9,3,1,72,16,88,Yes,3.5,No,Sports website/app,No,Yes,Entertainment,Probably yes,0.51,5,10,7,4,6,5,7,Silver
11,2024,9,Online (mobile),10,USA,North America,37,Female,Bachelor's degree,Student,Over $150k,Ice Hockey,Team Sport,Tennis,27,6,Streaming service,Daily,10.6,4,9,94,216,310,Yes,2.9,No,Social media,Yes,No,Entertainment,Probably yes,37.1,8,9,3,6,10,6,7,Platinum
12,2024,3,Online (desktop),14,Nigeria,Africa,39,Male,High school,Employed full-time,$25k–$50k,Soccer,Team Sport,Boxing,31,4,Streaming service,Monthly or less,0.5,0,3,87,14,101,No,1.9,No,Social media,No,No,Community & belonging,Definitely yes,10.64,7,8,7,10,9,8,7,Silver
13,2024,3,Online (desktop),9,France,Europe,36,Male,Master's degree,Student,$75k–$100k,Soccer,Team Sport,Athletics,20,2,Free broadcast TV,A few times a month,1.8,1,2,53,1,54,No,1.1,No,Sports website/app,No,Yes,Nostalgia,Probably yes,6.1,7,7,3,7,7,8,7,Silver
14,2024,7,Online (desktop),9,India,South Asia,27,Male,Master's degree,Student,$50k–$75k,Cricket,Team Sport,,14,4,Streaming service,Monthly or less,0.5,1,1,35,0,35,No,2.6,No,Social media,No,No,Entertainment,Definitely not,7.22,6,8,6,7,8,8,10,Silver
15,2024,8,In-app,15,India,South Asia,27,Non-binary,Bachelor's degree,Employed full-time,$75k–$100k,Cricket,Team Sport,Field Hockey,7,1,Streaming service,Daily,20.8,0,0,19,32,51,Yes,4.1,No,Social media,Yes,No,Nostalgia,Definitely yes,8.09,7,3,5,7,7,8,5,Silver
16,2024,6,Online (mobile),13,India,South Asia,20,Prefer not to say,Doctorate,Employed full-time,$50k–$75k,Soccer,Team Sport,Cricket,12,6,Cable/satellite TV,Daily,11.6,3,0,38,19,57,No,1.8,No,Sports website/app,Yes,No,National pride,Maybe,0.18,6,5,6,6,9,5,8,Gold
17,2024,6,Online (desktop),17,India,South Asia,53,Male,Bachelor's degree,Self-employed,Over $150k,Tennis,Racquet Sport,,27,6,In-person (stadium/arena),Daily,15.0,5,7,139,129,268,Yes,2.4,No,Sports website/app,Yes,No,Athletic excellence,Probably yes,2.44,5,8,8,8,9,8,10,Platinum
18,2024,10,Online (mobile),12,Germany,Europe,33,Female,Bachelor's degree,Student,$50k–$75k,Cycling,Individual Sport,,19,6,Streaming service,Weekly,4.2,2,1,76,46,122,Yes,2.0,No,Social media,Yes,No,Entertainment,Definitely yes,11.67,6,7,5,8,7,8,6,Gold
19,2024,8,Online (mobile),6,UK,Europe,31,Male,Master's degree,Student,Over $150k,Golf,Individual Sport,Rugby,12,3,Streaming service,Weekly,4.5,6,2,94,21,115,Yes,1.6,No,Newspaper/magazine,Yes,Yes,Entertainment,Definitely yes,15.08,7,6,5,6,8,7,9,Silver
20,2024,11,Online (desktop),9,India,South Asia,23,Male,Master's degree,Student,Under $25k,Cricket,Team Sport,Field Hockey,7,3,Social media clips,Daily,15.0,0,0,7,3,10,No,3.9,No,Social media,Yes,No,Entertainment,Probably yes,1.82,7,7,2,5,7,6,6,Silver
21,2024,11,Online (desktop),14,Australia,Oceania,65,Male,Bachelor's degree,Retired,$50k–$75k,Swimming,Individual Sport,Cricket,55,7,Cable/satellite TV,A few times a month,2.9,0,1,49,63,112,Yes,0.7,No,Podcast/radio,No,Yes,Entertainment,Probably yes,9.15,10,8,4,8,7,10,5,Gold
22,2024,10,Online (desktop),11,USA,North America,21,Male,High school,Employed part-time,$75k–$100k,Baseball,Team Sport,,8,4,Streaming service,Several times a week,8.5,1,2,94,36,130,No,2.0,No,Podcast/radio,Yes,No,Nostalgia,Maybe,6.08,8,4,8,6,7,9,4,Gold
23,2024,12,In-app,17,India,South Asia,28,Male,Some college,Unemployed,$75k–$100k,Field Hockey,Team Sport,Wrestling,18,2,Streaming service,Daily,14.3,2,0,14,16,30,Yes,3.3,No,TV sports news,No,Yes,Entertainment,Definitely not,0.34,9,4,5,8,7,8,8,Silver
24,2024,10,Online (mobile),9,Brazil,South America,38,Male,Bachelor's degree,Student,$100k–$150k,Soccer,Team Sport,,18,1,In-person (stadium/arena),Several times a week,8.1,2,1,31,72,103,No,0.9,No,Sports website/app,Yes,Yes,Community & belonging,Definitely yes,22.26,7,6,7,7,3,7,4,Bronze
25,2024,2,Online (mobile),15,UK,Europe,40,Female,Bachelor's degree,Unemployed,Under $25k,Rugby,Team Sport,Cricket,10,2,Streaming service,Daily,13.0,0,0,1,2,3,Yes,2.6,No,TV sports news,No,Yes,Athletic excellence,Maybe,1.83,8,8,4,7,8,9,9,Bronze
26,2024,5,Online (mobile),11,South Africa,Africa,44,Male,Master's degree,Employed full-time,Under $25k,Rugby,Team Sport,,14,2,Free broadcast TV,Several times a week,6.2,0,0,0,17,17,Yes,0.1,No,Newspaper/magazine,Yes,No,Physical inspiration,Definitely yes,0.34,6,7,5,7,9,7,8,Bronze
27,2024,12,Online (mobile),10,India,South Asia,53,Male,Doctorate,Retired,$50k–$75k,Badminton,Racquet Sport,,25,6,Free broadcast TV,Several times a week,7.9,0,1,12,29,41,No,2.4,No,TV sports news,No,No,Entertainment,Definitely yes,0.18,8,6,8,8,6,9,10,Gold
28,2024,2,In-app,10,Germany,Europe,39,Male,Master's degree,Employed part-time,Under $25k,Boxing,Combat Sport,,12,5,Cable/satellite TV,A few times a month,2.2,0,1,13,2,15,Yes,3.8,No,Social media,No,No,Nostalgia,Definitely yes,0.03,7,10,7,8,5,6,6,Silver
29,2024,3,Online (mobile),9,Australia,Oceania,21,Male,Bachelor's degree,Student,Over $150k,Australian Rules Football,Team Sport,Tennis,3,1,Sports bar/pub,A few times a month,2.4,4,2,84,185,269,Yes,2.4,No,Social media,No,No,Athletic excellence,Probably yes,0.76,6,8,3,6,9,7,5,Silver
30,2024,7,Online (mobile),11,USA,North America,30,Male,Master's degree,Employed full-time,$25k–$50k,American Football,Team Sport,Soccer,18,5,Cable/satellite TV,Several times a week,8.4,3,1,11,14,25,No,3.9,No,Social media,No,No,Gambling/betting,Definitely yes,0.87,7,7,5,8,10,8,9,Silver
31,2024,1,Online (desktop),17,Australia,Oceania,36,Male,Bachelor's degree,Employed full-time,$50k–$75k,Swimming,Individual Sport,,11,4,Streaming service,Weekly,3.7,3,0,4,2,6,No,0.0,No,Social media,No,Yes,Physical inspiration,Maybe,1.78,4,9,7,5,7,7,6,Bronze
32,2024,4,Online (mobile),25,USA,North America,56,Male,High school,Employed full-time,Under $25k,Soccer,Team Sport,Tennis,28,3,Free broadcast TV,Weekly,3.9,0,1,21,4,25,Yes,0.0,No,Sports website/app,No,No,Entertainment,Definitely yes,0.73,8,7,6,8,9,8,9,Bronze
33,2024,7,Online (mobile),14,USA,North America,18,Male,High school,Employed full-time,$50k–$75k,Baseball,Team Sport,,6,2,In-person (stadium/arena),Several times a week,6.9,1,0,25,18,43,Yes,1.5,No,Sports website/app,No,No,Athletic excellence,Probably yes,4.82,8,9,8,6,7,5,10,Bronze
34,2024,5,Online (mobile),13,China,East Asia,46,Male,Bachelor's degree,Employed full-time,$25k–$50k,Soccer,Team Sport,,15,3,Cable/satellite TV,Weekly,4.5,3,0,1,2,3,Yes,1.1,No,TV sports news,Yes,Yes,Nostalgia,Maybe,1.24,6,5,3,6,7,7,10,Bronze
35,2024,12,In-person tablet,12,Nigeria,Africa,35,Male,Doctorate,Student,Under $25k,Soccer,Team Sport,Tennis,24,5,Cable/satellite TV,Weekly,3.7,0,0,3,17,20,Yes,0.0,Yes,TV sports news,No,No,Physical inspiration,Definitely yes,2.16,6,3,7,7,6,6,4,Bronze
36,2024,5,In-app,9,France,Europe,42,Female,Some college,Employed full-time,$25k–$50k,Soccer,Team Sport,Basketball,9,1,Cable/satellite TV,Weekly,4.3,0,0,1,24,25,Yes,3.4,No,Sports website/app,No,No,Entertainment,Maybe,7.8,10,6,4,10,9,7,7,Bronze
37,2024,3,In-app,17,India,South Asia,32,Female,Some college,Employed full-time,$50k–$75k,Cricket,Team Sport,,14,3,Streaming service,Weekly,5.5,2,1,10,17,27,Yes,2.3,No,Social media,No,No,Community & belonging,Definitely yes,2.34,8,7,6,4,7,5,3,Bronze
